序号,Country,国家,认证名称,强制性/自愿性,样机数量,是否需要基于CE  or FCC报告转证,"认证周期
（周）包含测试+转证",证书有效期（年）,是否可以系列申请,预估总体费用（元）,备注
1,Abu Dhabi,阿布扎比,TDRA,强制,0,Y,5周,TDRA 3年,否,4500,
2,Afghanistan,阿富汗,CE,强制,0,NA,NA,NA,NA,0,
3,Albania,阿尔巴尼亚,CE,强制,0,NA,NA,NA,NA,0,
4,Algeria,阿尔及利亚,ARPCE,强制,1,NA,10-12周,2年,否,22500,
5,Am. Oceania,是。大洋洲,CE,强制,0,NA,NA,NA,NA,0,
6,Andorra,安道尔,CE,强制,0,NA,NA,NA,NA,0,
7,Angola,安哥拉,INACOM,强制,0,NA,4-5周,1年,否,8800,
8,Antigua & Barbuda,安提瓜和巴布达,MBT,强制,0,NA,5周,永久,否,7500,
9,Argentina,阿根廷,ENACOM,不强制,0,当地测试,8-10周,3年,否,24800,1pcs传导定频样机，1pcs正常样机
10,Armenia,亚美尼亚,AR CoC (RF),强制,0,基于CE,2-3周,1年,否,16000,
11,Aruba,阿鲁巴岛,DTA ,强制,0,基于CE,5周,永久,否,7800,
12,Australia,澳大利亚,RCM,强制,0,基于CE,2周,永久,是,1500,
13,Austria,奥地利,CE,强制,0,基于CE,NA,NA,NA,0,
14,Azerbaijan,阿塞拜疆,AZ Mincom CoC (RF) ,强制,0,基于CE,2-3周,1年,否,15000,
15,Bahamas,巴哈马,URCA ,强制,0,基于CE,5周,永久,否,6800,
16,Bahrain,巴林,TRA,强制,0,基于CE,2周,3年,否,5000,
17,Bangladesh,孟加拉国,BTRC,不强制,,NA,,,,,
18,Barbados,巴巴多斯,BTU ,强制,0,基于CE,4周,永久,否,5500,
19,Belarus,白俄罗斯,BY TR DoC (RF),强制,1,基于CE,4-5周,5年,否,9000,1pcs传导定频样机
20,Belgium,比利时,CE,强制,0,NA,NA,NA,NA,0,
21,Belize,伯利兹,PUC ,强制,0,基于CE,4周,永久,否,10000,
22,Benin,贝宁,ARCEP,强制,0,基于CE,8周,5年,否,11500,1pcs正常样机
23,Bermuda,百慕大,DOT ,强制,0,基于CE,5周,永久,否,8000,
24,Bhutan,不丹,Bhutan,不强制,,NA,,,,,
25,Bolivia,玻利维亚,ATT ,强制,0,基于CE,5周,永久,否,5500,
26,Bosnia and Herzegovina,波斯尼亚和黑塞哥维那,CE,强制,0,NA,NA,NA,NA,0,
27,Botswana,博茨瓦纳,BOCRA ,强制,0,基于CE,3-4周,永久,否,7600,
28,Brazil,巴西,Anatel,强制,0,当地测试,8-10周,永久,否,48000,1pcs传导定频样机，1pcs正常样机
29,Brunei Darussalam,文莱达鲁萨兰国,AITI,强制,0,基于CE,2周,5年,否,5500,
30,Bulgaria,保加利亚,CE,强制,0,NA,NA,NA,NA,0,
31,Burkina Faso,布基纳法索,ARCEP,强制,0,基于CE,4周,5年,否,8000,
32,Burundi,布隆迪,ARCT ,强制,0,基于CE,8周,永久,否,10500,1pcs正常样机
33,Cambodia,柬埔寨,TRC,强制,0,基于CE,4周,永久,否,15000,
34,Cameroon,喀麦隆,ART ,强制,0,基于CE,10-12周,永久,否,15000,
